23:45:50: [INFO] [C:\Users\Dell\Documents\AutoBootcamp\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 49] Logger initialized
23:46:00: [INFO] [C:\Users\Dell\Documents\AutoBootcamp\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 91] Average velocity so far: (0.00, 1.90, 0.10)
23:46:00: [INFO] [C:\Users\Dell\Documents\AutoBootcamp\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 91] Average velocity so far: (0.00, 2.73, 0.09)
23:46:01: [INFO] [C:\Users\Dell\Documents\AutoBootcamp\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 91] Average velocity so far: (0.87, 2.61, 0.09)
23:46:01: [INFO] [C:\Users\Dell\Documents\AutoBootcamp\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 91] Average velocity so far: (1.67, 2.50, 0.08)
23:46:02: [INFO] [C:\Users\Dell\Documents\AutoBootcamp\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 91] Average velocity so far: (2.40, 2.40, 0.08)
23:46:02: [INFO] [C:\Users\Dell\Documents\AutoBootcamp\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 91] Average velocity so far: (2.31, 1.54, 0.08)
23:46:03: [INFO] [C:\Users\Dell\Documents\AutoBootcamp\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 91] Average velocity so far: (2.22, 0.74, 0.07)
23:46:03: [INFO] [C:\Users\Dell\Documents\AutoBootcamp\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 91] Average velocity so far: (2.14, 0.00, 0.07)
23:46:04: [INFO] [C:\Users\Dell\Documents\AutoBootcamp\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 91] Average velocity so far: (1.38, 0.00, 0.07)
23:46:04: [INFO] [C:\Users\Dell\Documents\AutoBootcamp\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 91] Average velocity so far: (0.67, 0.00, 0.07)
23:46:05: [INFO] [C:\Users\Dell\Documents\AutoBootcamp\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 91] Average velocity so far: (0.00, 0.00, 0.06)
23:46:06: [INFO] [C:\Users\Dell\Documents\AutoBootcamp\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 81] Command worker exiting
